date,day_of_week,month,year,shift,total_arrivals,staff_on_duty,crowding_ratio,avg_wait_min,avg_los_min,admitted,discharged,left_without_seen,transferred,readmit_rate,triage_critical,triage_urgent,triage_semi_urgent,triage_non_urgent,patient_satisfaction,insured_rate,primary_diagnosis,is_holiday,is_surge_event
2022-07-05,Tuesday,July,2022,Day,126,17,1.14,60.6,92.0,33,78,12,3,0.088,2,25,62,36,7.3,0.71,Neurological,0,0
2022-07-06,Wednesday,July,2022,Night,113,16,1.09,70.4,136.9,26,60,13,14,0.07,6,18,51,33,6.6,0.65,Psychiatric,0,0
2022-07-07,Thursday,July,2022,Night,91,20,0.7,73.0,124.2,19,56,8,8,0.072,4,19,35,33,7.4,0.66,Cardiac,0,0
2022-07-08,Friday,July,2022,Day,93,16,0.89,48.1,110.5,21,51,9,12,0.065,5,13,41,34,8.3,0.56,Abdominal,0,0
2022-07-09,Saturday,July,2022,Night,72,17,0.65,69.3,131.6,17,45,4,6,0.076,2,15,34,26,7.0,0.65,Cardiac,0,0
2022-07-10,Sunday,July,2022,Evening,63,20,0.48,30.4,59.0,15,34,1,13,0.068,3,11,26,21,7.4,0.47,Cardiac,0,0
2022-07-11,Monday,July,2022,Day,211,24,1.35,75.4,169.3,65,129,17,0,0.083,12,32,100,79,6.4,0.69,Neurological,0,1
2022-07-12,Tuesday,July,2022,Evening,151,17,1.37,91.2,191.2,37,99,17,0,0.081,8,33,58,56,5.1,0.73,Other,0,0
2022-07-13,Wednesday,July,2022,Evening,142,13,1.68,110.8,259.5,45,70,16,11,0.097,2,31,68,42,4.1,0.66,Respiratory,0,0
2022-07-14,Thursday,July,2022,Day,134,18,1.15,87.9,150.6,31,83,16,4,0.076,7,31,55,50,6.7,0.63,Abdominal,0,0
2022-07-15,Friday,July,2022,Day,154,20,1.18,69.5,167.0,47,98,12,0,0.077,4,22,60,57,5.6,0.72,Other,0,0
2022-07-16,Saturday,July,2022,Evening,107,22,0.75,56.6,125.7,32,56,6,13,0.071,2,17,48,33,8.6,0.55,Respiratory,0,0
2022-07-17,Sunday,July,2022,Evening,63,17,0.57,54.9,91.0,16,34,1,12,0.067,3,12,25,18,6.8,0.53,Other,0,0
2022-07-18,Monday,July,2022,Day,156,22,1.09,64.4,138.6,48,97,19,0,0.078,8,23,70,48,6.2,0.67,Abdominal,0,0
2022-07-19,Tuesday,July,2022,Day,248,21,1.82,98.6,192.0,65,146,34,3,0.1,14,57,115,90,6.5,0.73,Trauma,0,1
2022-07-20,Wednesday,July,2022,Night,161,20,1.24,100.4,170.2,49,78,14,20,0.081,6,25,65,55,6.3,0.57,Trauma,0,0
2022-07-21,Thursday,July,2022,Evening,134,14,1.47,91.8,197.0,33,90,17,0,0.099,4,29,54,49,6.7,0.66,Abdominal,0,0
2022-07-22,Friday,July,2022,Evening,106,12,1.36,97.3,237.1,21,51,12,22,0.078,3,21,50,33,6.2,0.56,Abdominal,0,0
2022-07-23,Saturday,July,2022,Day,80,14,0.88,71.2,103.3,21,50,5,4,0.064,2,17,35,24,6.5,0.63,Psychiatric,0,0
2022-07-24,Sunday,July,2022,Evening,57,21,0.42,24.8,43.9,11,34,2,10,0.068,3,9,24,15,8.1,0.53,Respiratory,0,0
2022-07-25,Monday,July,2022,Day,109,17,0.99,48.9,80.1,22,64,11,12,0.069,6,23,48,28,6.8,0.7,Abdominal,0,0
2022-07-26,Tuesday,July,2022,Evening,101,21,0.74,59.5,125.8,20,59,9,13,0.063,3,19,49,28,6.8,0.73,Cardiac,0,0
2022-07-27,Wednesday,July,2022,Evening,105,24,0.67,50.1,83.7,20,59,7,19,0.077,5,14,48,37,7.7,0.72,Trauma,0,0
2022-07-28,Thursday,July,2022,Evening,91,24,0.58,38.3,129.0,20,54,6,11,0.051,4,19,37,29,8.5,0.58,Other,0,0
2022-07-29,Friday,July,2022,Evening,116,15,1.19,108.0,191.1,29,77,8,2,0.078,2,19,46,31,5.6,0.59,Psychiatric,0,0
2022-07-30,Saturday,July,2022,Day,80,20,0.62,48.6,122.4,16,41,4,19,0.056,3,18,31,24,7.6,0.57,Abdominal,0,0
2022-07-31,Sunday,July,2022,Night,60,16,0.58,60.8,128.3,16,33,5,6,0.075,2,13,24,22,7.7,0.59,Trauma,0,0
2022-08-01,Monday,August,2022,Day,117,16,1.12,79.2,154.2,28,71,11,7,0.064,5,25,57,30,6.7,0.67,Cardiac,0,0
2022-08-02,Tuesday,August,2022,Day,136,20,1.05,53.3,93.1,38,72,12,14,0.083,4,26,54,46,6.3,0.69,Respiratory,0,0
2022-08-03,Wednesday,August,2022,Evening,162,22,1.13,72.9,110.8,33,105,19,5,0.075,7,27,69,58,6.6,0.73,Abdominal,0,1
2022-08-04,Thursday,August,2022,Evening,126,14,1.38,88.3,122.8,33,69,12,12,0.094,5,20,62,45,7.2,0.69,Respiratory,0,0
2022-08-05,Friday,August,2022,Evening,108,14,1.19,98.1,183.6,19,63,12,14,0.08,4,25,46,29,5.9,0.71,Trauma,0,0
2022-08-06,Saturday,August,2022,Night,71,19,0.57,53.1,110.9,20,43,4,4,0.073,1,10,34,18,8.7,0.67,Abdominal,0,0
2022-08-07,Sunday,August,2022,Evening,60,18,0.51,37.8,72.5,11,34,4,11,0.061,1,13,23,22,7.6,0.52,Respiratory,0,0
2022-08-08,Monday,August,2022,Day,123,20,0.95,56.4,120.0,22,81,9,11,0.083,4,18,48,33,6.8,0.59,Cardiac,0,0
2022-08-09,Tuesday,August,2022,Day,113,22,0.79,57.1,129.9,29,69,5,10,0.057,5,27,43,42,6.5,0.56,Cardiac,0,0
2022-08-10,Wednesday,August,2022,Evening,118,17,1.07,56.9,121.9,26,66,10,16,0.071,3,17,50,41,7.1,0.74,Abdominal,0,0
2022-08-11,Thursday,August,2022,Day,113,16,1.09,64.5,117.2,25,62,13,13,0.091,5,23,44,34,6.8,0.63,Psychiatric,0,0
2022-08-12,Friday,August,2022,Evening,111,20,0.85,63.3,112.0,27,56,11,17,0.059,3,18,48,32,5.4,0.67,Cardiac,0,0
2022-08-13,Saturday,August,2022,Night,83,16,0.8,62.6,113.1,22,52,8,1,0.083,1,19,35,26,7.0,0.48,Respiratory,0,0
2022-08-14,Sunday,August,2022,Day,54,17,0.49,39.8,64.5,15,31,3,5,0.047,3,8,22,13,8.0,0.55,Respiratory,0,0
2022-08-15,Monday,August,2022,Day,113,19,0.91,80.7,160.0,19,71,6,17,0.06,3,25,51,37,6.3,0.6,Abdominal,0,0
2022-08-16,Tuesday,August,2022,Day,111,23,0.74,59.0,85.9,27,70,8,6,0.066,6,22,42,40,7.7,0.57,Trauma,0,0
2022-08-17,Wednesday,August,2022,Evening,119,19,0.96,68.3,93.0,31,60,12,16,0.074,4,24,46,37,7.4,0.71,Other,0,0
2022-08-18,Thursday,August,2022,Night,110,20,0.85,57.8,171.2,28,69,11,2,0.082,4,25,43,39,7.0,0.71,Trauma,0,0
2022-08-19,Friday,August,2022,Evening,118,19,0.96,49.9,92.6,25,77,8,8,0.082,5,24,45,39,6.4,0.74,Respiratory,0,0
2022-08-20,Saturday,August,2022,Night,90,19,0.73,48.8,87.1,15,59,9,7,0.057,3,16,40,24,7.8,0.58,Trauma,0,0
2022-08-21,Sunday,August,2022,Day,54,9,0.92,56.3,77.5,15,31,3,5,0.077,1,9,23,15,7.5,0.53,Abdominal,0,0
2022-08-22,Monday,August,2022,Day,109,22,0.76,59.8,135.0,24,65,7,13,0.074,4,19,53,37,7.1,0.63,Cardiac,0,0
2022-08-23,Tuesday,August,2022,Day,119,20,0.92,51.2,94.3,35,58,7,19,0.086,2,28,47,35,7.4,0.56,Respiratory,0,0
2022-08-24,Wednesday,August,2022,Night,130,14,1.43,107.2,227.6,30,83,13,4,0.092,6,30,63,46,6.1,0.59,Cardiac,0,0
2022-08-25,Thursday,August,2022,Evening,107,22,0.75,55.9,97.4,25,58,7,17,0.06,5,15,43,32,6.4,0.62,Respiratory,0,0
2022-08-26,Friday,August,2022,Evening,113,15,1.16,83.7,162.9,25,69,11,8,0.071,3,17,51,31,6.8,0.63,Respiratory,0,0
2022-08-27,Saturday,August,2022,Night,90,22,0.63,56.1,84.2,26,58,3,3,0.066,2,17,42,24,7.8,0.59,Trauma,0,0
2022-08-28,Sunday,August,2022,Day,61,21,0.45,35.9,54.1,15,29,4,13,0.05,1,13,25,15,8.8,0.66,Other,0,0
2022-08-29,Monday,August,2022,Night,128,21,0.94,64.4,107.4,33,79,14,2,0.069,2,19,63,40,7.5,0.6,Other,0,0
2022-08-30,Tuesday,August,2022,Day,128,16,1.23,71.6,172.6,30,70,11,17,0.075,5,30,51,39,6.6,0.69,Respiratory,0,0
2022-08-31,Wednesday,August,2022,Night,104,19,0.84,66.0,122.9,27,54,9,14,0.074,2,18,43,27,8.3,0.57,Abdominal,0,0
2022-09-01,Thursday,September,2022,Day,124,16,1.19,69.7,162.9,34,81,14,0,0.069,7,28,52,33,6.7,0.64,Trauma,0,0
2022-09-02,Friday,September,2022,Evening,109,21,0.8,61.2,156.0,23,56,5,25,0.082,3,19,45,34,7.2,0.69,Trauma,0,0
2022-09-03,Saturday,September,2022,Day,73,19,0.59,37.7,86.7,12,44,6,11,0.058,1,15,34,26,7.6,0.49,Trauma,0,0
2022-09-04,Sunday,September,2022,Evening,55,15,0.56,40.5,44.9,10,33,3,9,0.071,1,12,24,14,7.4,0.49,Other,0,0
2022-09-05,Monday,September,2022,Evening,127,19,1.03,62.3,87.2,26,80,13,8,0.074,4,23,52,44,7.0,0.61,Trauma,0,0
2022-09-06,Tuesday,September,2022,Night,138,19,1.12,87.2,139.4,31,88,13,6,0.066,6,22,54,49,6.0,0.74,Neurological,0,0
2022-09-07,Wednesday,September,2022,Evening,133,18,1.14,66.7,131.7,28,64,11,30,0.071,3,27,66,44,7.0,0.66,Cardiac,0,0
2022-09-08,Thursday,September,2022,Day,125,20,0.96,64.2,140.9,34,64,10,17,0.062,5,18,48,45,7.3,0.56,Abdominal,0,0
2022-09-09,Friday,September,2022,Evening,122,18,1.04,77.8,125.9,26,77,9,10,0.087,4,17,53,43,5.5,0.67,Other,0,0
2022-09-10,Saturday,September,2022,Day,80,17,0.72,52.0,101.7,20,40,6,14,0.058,4,15,39,26,8.0,0.63,Trauma,0,0
2022-09-11,Sunday,September,2022,Night,61,18,0.52,72.2,115.5,10,33,2,16,0.075,2,9,23,16,5.9,0.59,Respiratory,0,0
2022-09-12,Monday,September,2022,Night,118,12,1.51,110.2,135.4,27,71,16,4,0.097,3,21,58,31,5.5,0.61,Neurological,0,0
2022-09-13,Tuesday,September,2022,Day,121,24,0.78,53.3,162.9,30,61,9,21,0.058,2,24,46,32,7.2,0.67,Respiratory,0,0
2022-09-14,Wednesday,September,2022,Day,124,15,1.27,78.7,157.5,36,60,15,13,0.072,3,22,54,38,6.5,0.58,Cardiac,0,0
2022-09-15,Thursday,September,2022,Evening,125,18,1.07,58.3,141.9,32,70,11,12,0.081,6,24,51,43,7.2,0.72,Neurological,0,0
2022-09-16,Friday,September,2022,Night,121,19,0.98,74.8,142.9,30,63,13,15,0.064,3,28,57,35,6.8,0.62,Neurological,0,0
2022-09-17,Saturday,September,2022,Day,92,21,0.67,58.3,95.5,24,59,5,4,0.065,1,20,43,23,7.5,0.6,Cardiac,0,0
2022-09-18,Sunday,September,2022,Day,67,18,0.57,41.3,78.3,14,38,2,13,0.067,2,12,29,16,9.3,0.56,Respiratory,0,0
2022-09-19,Monday,September,2022,Evening,120,23,0.8,58.5,127.2,28,77,10,5,0.077,2,28,46,30,6.6,0.66,Trauma,0,0
2022-09-20,Tuesday,September,2022,Evening,140,20,1.08,87.1,129.9,29,74,14,23,0.071,3,23,68,52,6.2,0.6,Psychiatric,0,0
2022-09-21,Wednesday,September,2022,Night,113,17,1.02,61.2,74.3,21,69,13,10,0.079,4,19,49,41,7.1,0.73,Abdominal,0,0
2022-09-22,Thursday,September,2022,Day,125,21,0.92,54.0,75.0,22,83,13,7,0.074,5,23,59,43,7.3,0.64,Cardiac,0,0
2022-09-23,Friday,September,2022,Evening,120,20,0.92,69.2,158.1,21,66,11,22,0.069,6,17,49,31,6.4,0.62,Respiratory,0,0
2022-09-24,Saturday,September,2022,Evening,79,19,0.64,70.0,87.2,20,50,3,6,0.072,2,17,36,24,7.4,0.64,Trauma,0,0
2022-09-25,Sunday,September,2022,Evening,68,18,0.58,46.7,112.7,12,38,2,16,0.055,2,14,28,25,7.2,0.55,Neurological,0,0
2022-09-26,Monday,September,2022,Day,125,18,1.07,57.3,112.2,33,68,8,16,0.083,7,18,49,43,6.6,0.72,Cardiac,0,0
2022-09-27,Tuesday,September,2022,Day,122,15,1.25,81.8,150.0,22,80,12,8,0.078,6,22,47,38,6.4,0.69,Abdominal,0,0
2022-09-28,Wednesday,September,2022,Evening,138,15,1.42,99.9,237.3,41,92,15,0,0.074,4,22,65,45,5.7,0.75,Respiratory,0,0
2022-09-29,Thursday,September,2022,Evening,122,19,0.99,66.9,112.8,34,78,7,3,0.065,6,25,51,38,5.7,0.59,Trauma,0,0
2022-09-30,Friday,September,2022,Evening,136,16,1.31,73.2,128.7,39,80,13,4,0.095,5,29,63,45,6.9,0.6,Trauma,0,0
2022-10-01,Saturday,October,2022,Day,96,17,0.87,50.3,47.2,23,53,9,11,0.072,2,15,42,27,7.9,0.62,Neurological,0,0
2022-10-02,Sunday,October,2022,Day,82,17,0.74,52.3,129.3,16,55,8,3,0.059,2,14,38,27,7.3,0.64,Other,0,0
2022-10-03,Monday,October,2022,Evening,137,18,1.17,81.9,138.6,38,70,15,14,0.067,5,21,53,35,6.5,0.59,Psychiatric,0,0
2022-10-04,Tuesday,October,2022,Evening,152,18,1.3,81.7,222.4,26,100,21,5,0.076,4,34,70,48,6.2,0.7,Cardiac,0,0
2022-10-05,Wednesday,October,2022,Day,149,17,1.35,77.4,177.3,33,85,19,12,0.082,6,35,71,43,6.2,0.67,Abdominal,0,0
2022-10-06,Thursday,October,2022,Day,123,14,1.35,83.6,158.5,35,77,15,0,0.078,5,18,59,41,6.0,0.67,Respiratory,0,0
2022-10-07,Friday,October,2022,Night,128,21,0.94,77.1,181.7,31,76,10,11,0.085,3,24,57,47,6.8,0.68,Other,0,0
2022-10-08,Saturday,October,2022,Evening,96,15,0.98,72.2,103.5,20,58,10,8,0.068,4,22,45,33,6.4,0.62,Other,0,0
2022-10-09,Sunday,October,2022,Day,74,15,0.76,64.0,121.5,18,35,5,16,0.055,2,16,31,24,6.8,0.6,Other,0,0
2022-10-10,Monday,October,2022,Night,146,20,1.12,96.2,170.4,33,83,17,13,0.066,7,32,63,40,6.9,0.56,Abdominal,0,0
2022-10-11,Tuesday,October,2022,Day,129,15,1.32,96.0,167.4,30,65,16,18,0.077,4,27,52,34,6.4,0.66,Abdominal,0,0
2022-10-12,Wednesday,October,2022,Day,132,15,1.35,76.1,143.2,36,63,15,18,0.076,3,31,57,43,6.0,0.7,Abdominal,0,0
2022-10-13,Thursday,October,2022,Day,121,19,0.98,69.8,182.4,35,76,11,0,0.062,2,19,58,41,6.3,0.7,Other,0,0
2022-10-14,Friday,October,2022,Evening,142,18,1.21,80.3,144.9,41,92,18,0,0.069,5,31,56,48,6.3,0.73,Abdominal,0,0
2022-10-15,Saturday,October,2022,Evening,80,17,0.72,46.2,115.7,21,39,7,13,0.078,4,18,36,30,7.4,0.56,Respiratory,0,0
2022-10-16,Sunday,October,2022,Evening,58,14,0.64,51.9,97.1,13,31,4,10,0.074,3,12,23,20,8.0,0.56,Respiratory,0,0
2022-10-17,Monday,October,2022,Evening,124,20,0.95,62.8,160.4,28,83,12,1,0.075,3,20,60,35,6.1,0.74,Other,0,0
2022-10-18,Tuesday,October,2022,Day,131,21,0.96,53.8,122.8,30,75,10,16,0.087,3,25,60,44,7.0,0.68,Respiratory,0,0
2022-10-19,Wednesday,October,2022,Night,129,18,1.1,91.2,160.5,33,67,12,17,0.075,6,23,55,46,6.7,0.6,Cardiac,0,0
2022-10-20,Thursday,October,2022,Evening,135,19,1.09,75.0,123.9,30,75,10,20,0.068,5,26,59,42,7.9,0.64,Trauma,0,0
2022-10-21,Friday,October,2022,Evening,136,17,1.23,81.1,131.7,24,77,11,24,0.07,5,24,61,51,6.4,0.66,Abdominal,0,0
2022-10-22,Saturday,October,2022,Day,79,19,0.64,54.4,139.2,23,42,3,11,0.052,2,11,30,21,7.4,0.59,Abdominal,0,0
2022-10-23,Sunday,October,2022,Evening,64,20,0.49,53.5,112.0,19,42,2,1,0.061,2,14,26,22,7.2,0.59,Respiratory,0,0
2022-10-24,Monday,October,2022,Day,121,19,0.98,68.7,134.3,36,81,8,0,0.067,5,22,50,32,6.7,0.6,Other,0,0
2022-10-25,Tuesday,October,2022,Evening,154,20,1.18,86.8,135.5,41,75,13,25,0.076,4,34,76,41,5.8,0.66,Trauma,0,0
2022-10-26,Wednesday,October,2022,Evening,128,18,1.09,61.3,134.0,34,86,14,0,0.081,7,20,57,40,7.0,0.56,Trauma,0,0
2022-10-27,Thursday,October,2022,Day,116,14,1.27,74.8,72.6,23,68,13,12,0.081,5,26,45,32,6.8,0.7,Other,0,0
2022-10-28,Friday,October,2022,Evening,142,20,1.09,79.6,117.4,29,71,11,31,0.068,6,32,68,41,6.9,0.67,Psychiatric,0,0
2022-10-29,Saturday,October,2022,Evening,98,20,0.75,60.3,104.4,22,47,6,23,0.077,2,21,42,32,7.5,0.48,Psychiatric,0,1
2022-10-30,Sunday,October,2022,Evening,76,22,0.53,41.0,99.1,13,49,4,10,0.046,2,16,31,25,9.3,0.52,Neurological,0,0
2022-10-31,Monday,October,2022,Evening,137,22,0.96,78.3,137.0,26,87,9,15,0.075,2,20,58,41,7.1,0.68,Psychiatric,0,0
2022-11-01,Tuesday,November,2022,Day,154,15,1.58,106.6,209.0,38,96,19,1,0.094,5,24,69,57,6.0,0.59,Other,0,0
2022-11-02,Wednesday,November,2022,Evening,157,18,1.34,80.1,160.6,32,92,21,12,0.096,9,34,65,57,6.5,0.66,Cardiac,0,0
2022-11-03,Thursday,November,2022,Night,135,20,1.04,94.6,224.6,27,68,14,26,0.089,6,31,52,48,6.1,0.64,Respiratory,0,0
2022-11-04,Friday,November,2022,Day,162,19,1.31,93.6,172.5,31,89,16,26,0.095,7,23,71,59,6.2,0.59,Trauma,0,0
2022-11-05,Saturday,November,2022,Evening,91,17,0.82,66.9,119.1,15,48,6,22,0.076,2,19,41,28,6.4,0.5,Other,0,0
2022-11-06,Sunday,November,2022,Evening,73,20,0.56,34.5,110.4,16,36,2,19,0.063,1,13,30,26,8.5,0.58,Abdominal,0,0
2022-11-07,Monday,November,2022,Evening,163,19,1.32,86.3,212.5,48,89,16,10,0.071,6,24,80,47,5.8,0.7,Cardiac,0,0
2022-11-08,Tuesday,November,2022,Night,169,13,2.0,121.6,282.6,41,93,27,8,0.11,3,24,68,53,4.8,0.72,Trauma,0,0
2022-11-09,Wednesday,November,2022,Evening,155,18,1.32,98.2,254.8,35,85,16,19,0.088,3,29,59,44,5.5,0.64,Neurological,0,0
2022-11-10,Thursday,November,2022,Night,139,21,1.02,63.5,121.2,36,71,15,17,0.061,7,29,64,37,7.7,0.72,Trauma,0,0
2022-11-11,Friday,November,2022,Day,157,20,1.21,70.5,164.4,36,106,12,3,0.068,3,25,77,48,7.3,0.67,Respiratory,0,0
2022-11-12,Saturday,November,2022,Night,102,18,0.87,62.6,138.4,18,50,5,29,0.078,2,21,41,26,7.3,0.62,Psychiatric,0,0
2022-11-13,Sunday,November,2022,Evening,69,16,0.66,58.1,133.5,16,41,4,8,0.061,2,15,30,25,7.6,0.54,Respiratory,0,0
2022-11-14,Monday,November,2022,Evening,140,18,1.2,89.0,148.0,30,67,13,30,0.08,6,19,56,50,5.6,0.69,Other,0,0
2022-11-15,Tuesday,November,2022,Evening,161,20,1.24,105.6,238.6,34,85,20,22,0.074,3,29,75,55,5.6,0.6,Respiratory,0,0
2022-11-16,Wednesday,November,2022,Evening,162,17,1.47,92.3,187.1,42,92,19,9,0.092,4,34,77,52,5.1,0.72,Neurological,0,0
2022-11-17,Thursday,November,2022,Night,156,16,1.5,105.2,206.7,26,98,22,10,0.088,4,23,61,57,6.1,0.57,Respiratory,0,0
2022-11-18,Friday,November,2022,Evening,165,21,1.21,80.6,231.3,28,96,19,22,0.084,5,31,66,54,5.5,0.57,Respiratory,0,0
2022-11-19,Saturday,November,2022,Day,98,17,0.89,61.0,90.3,17,57,8,16,0.068,3,16,43,25,7.8,0.62,Abdominal,0,0
2022-11-20,Sunday,November,2022,Evening,81,18,0.69,51.9,98.0,21,47,3,10,0.054,2,15,35,29,8.3,0.63,Neurological,0,0
2022-11-21,Monday,November,2022,Day,150,19,1.21,72.5,114.0,29,73,18,30,0.076,5,33,61,50,6.9,0.69,Other,0,0
2022-11-22,Tuesday,November,2022,Day,144,21,1.05,70.1,145.2,31,70,10,33,0.084,7,25,68,46,6.9,0.65,Other,0,0
2022-11-23,Wednesday,November,2022,Night,149,18,1.27,81.5,101.1,25,98,16,10,0.075,3,31,62,40,7.6,0.68,Neurological,0,0
2022-11-24,Thursday,November,2022,Night,206,20,1.58,107.8,165.8,48,110,21,27,0.098,11,45,81,63,5.5,0.58,Cardiac,1,0
2022-11-25,Friday,November,2022,Day,165,18,1.41,93.5,179.5,48,112,17,0,0.099,4,29,81,47,6.4,0.69,Trauma,0,0
2022-11-26,Saturday,November,2022,Evening,104,15,1.07,74.8,153.7,17,52,7,28,0.091,5,20,50,34,7.7,0.48,Abdominal,0,0
2022-11-27,Sunday,November,2022,Day,78,23,0.52,39.2,96.9,20,51,3,4,0.071,3,16,37,21,7.7,0.49,Neurological,0,0
2022-11-28,Monday,November,2022,Night,165,18,1.41,111.6,153.0,46,90,16,13,0.086,9,33,72,62,5.2,0.73,Trauma,0,0
2022-11-29,Tuesday,November,2022,Night,136,16,1.31,96.7,166.2,31,66,12,27,0.075,4,27,59,49,5.9,0.62,Abdominal,0,0
2022-11-30,Wednesday,November,2022,Evening,149,16,1.43,96.6,221.3,38,86,15,10,0.082,6,22,67,51,4.9,0.58,Psychiatric,0,0
2022-12-01,Thursday,December,2022,Evening,136,20,1.05,85.7,137.9,30,89,13,4,0.085,3,21,52,43,6.8,0.68,Trauma,0,0
2022-12-02,Friday,December,2022,Night,148,18,1.26,108.7,250.4,36,73,18,21,0.075,4,24,67,46,6.0,0.61,Psychiatric,0,0
2022-12-03,Saturday,December,2022,Day,92,18,0.79,53.5,109.2,15,60,4,13,0.065,4,20,37,23,7.5,0.55,Respiratory,0,0
2022-12-04,Sunday,December,2022,Day,84,15,0.86,46.6,110.3,18,43,7,16,0.077,2,16,36,29,8.1,0.5,Trauma,0,0
2022-12-05,Monday,December,2022,Evening,151,20,1.16,85.8,138.0,44,83,14,10,0.078,7,34,64,46,5.7,0.72,Respiratory,0,0
2022-12-06,Tuesday,December,2022,Evening,193,24,1.24,79.8,172.6,48,104,15,26,0.084,4,38,88,60,7.2,0.56,Neurological,0,0
2022-12-07,Wednesday,December,2022,Night,190,17,1.72,129.1,245.3,47,102,31,10,0.082,9,28,81,50,5.4,0.68,Other,0,0
2022-12-08,Thursday,December,2022,Night,164,19,1.33,84.0,176.7,32,102,19,11,0.095,7,23,64,58,5.9,0.73,Respiratory,0,0
2022-12-09,Friday,December,2022,Evening,168,18,1.44,110.3,166.7,33,100,24,11,0.077,8,39,65,63,6.7,0.64,Other,0,0
2022-12-10,Saturday,December,2022,Evening,96,15,0.98,85.1,138.1,17,55,11,13,0.071,5,21,39,31,5.6,0.59,Psychiatric,0,0
2022-12-11,Sunday,December,2022,Day,96,20,0.74,50.3,70.4,25,49,9,13,0.073,2,14,43,31,7.9,0.54,Respiratory,0,0
2022-12-12,Monday,December,2022,Night,161,19,1.3,101.3,213.5,34,94,15,18,0.09,8,30,77,48,5.6,0.73,Respiratory,0,0
2022-12-13,Tuesday,December,2022,Night,167,19,1.35,84.0,148.0,32,87,20,28,0.08,6,33,80,45,5.9,0.6,Neurological,0,0
2022-12-14,Wednesday,December,2022,Day,163,21,1.19,82.3,145.9,40,91,18,14,0.079,6,32,79,44,6.6,0.64,Psychiatric,0,0
2022-12-15,Thursday,December,2022,Night,164,20,1.26,87.7,137.8,38,104,16,6,0.076,8,34,63,51,5.1,0.64,Psychiatric,0,0
2022-12-16,Friday,December,2022,Night,167,15,1.71,138.7,334.0,46,89,18,14,0.084,8,29,77,55,4.2,0.64,Trauma,0,0
2022-12-17,Saturday,December,2022,Evening,107,14,1.18,83.4,142.0,23,54,11,19,0.084,3,17,48,37,6.5,0.57,Other,0,0
2022-12-18,Sunday,December,2022,Evening,93,19,0.75,45.3,92.8,16,56,8,13,0.075,5,19,38,28,7.6,0.62,Cardiac,0,0
2022-12-19,Monday,December,2022,Evening,176,17,1.59,127.6,279.0,31,114,19,12,0.105,10,30,68,44,4.6,0.68,Respiratory,0,0
2022-12-20,Tuesday,December,2022,Evening,160,19,1.3,70.6,112.1,40,101,16,3,0.097,5,34,62,43,6.7,0.59,Respiratory,0,0
2022-12-21,Wednesday,December,2022,Evening,176,17,1.59,111.6,272.7,43,115,18,0,0.094,5,38,70,61,5.2,0.64,Trauma,0,0
2022-12-22,Thursday,December,2022,Evening,153,18,1.31,80.1,177.6,39,87,15,12,0.094,6,23,58,52,5.6,0.63,Other,0,0
2022-12-23,Friday,December,2022,Evening,161,17,1.46,83.9,140.6,39,88,14,20,0.096,7,24,75,46,6.9,0.59,Neurological,0,0
2022-12-24,Saturday,December,2022,Evening,120,14,1.32,92.8,185.1,34,79,16,0,0.098,6,25,57,30,6.5,0.67,Neurological,0,0
2022-12-25,Sunday,December,2022,Night,110,13,1.3,84.1,229.5,24,74,10,2,0.081,4,16,42,36,5.4,0.58,Other,1,0
2022-12-26,Monday,December,2022,Day,161,18,1.38,90.1,211.8,34,87,18,22,0.074,4,27,77,53,5.9,0.71,Trauma,0,0
2022-12-27,Tuesday,December,2022,Evening,152,24,0.97,79.8,137.7,37,83,12,20,0.07,8,23,59,47,5.0,0.67,Neurological,0,0
2022-12-28,Wednesday,December,2022,Evening,164,15,1.68,109.6,233.4,45,96,21,2,0.109,5,37,70,45,6.0,0.57,Psychiatric,0,0
2022-12-29,Thursday,December,2022,Evening,202,7,4.44,240.0,398.9,43,100,36,23,0.15,11,37,80,50,1.0,0.74,Respiratory,0,1
2022-12-30,Friday,December,2022,Day,163,19,1.32,84.3,151.1,44,92,15,12,0.075,3,26,74,50,7.0,0.57,Abdominal,0,0
2022-12-31,Saturday,December,2022,Evening,105,19,0.85,66.1,77.0,30,70,10,0,0.084,2,18,46,33,8.2,0.53,Trauma,0,0
2023-01-01,Sunday,January,2023,Evening,104,16,1.0,84.6,179.3,23,58,9,14,0.06,2,17,45,34,6.9,0.58,Respiratory,1,0
2023-01-02,Monday,January,2023,Day,152,21,1.11,59.5,76.3,34,102,14,2,0.081,3,28,59,57,7.3,0.64,Trauma,0,0
2023-01-03,Tuesday,January,2023,Evening,210,23,1.4,94.4,202.1,59,104,21,26,0.079,6,37,99,53,5.0,0.7,Respiratory,0,0
2023-01-04,Wednesday,January,2023,Night,195,20,1.5,105.1,166.7,52,96,26,21,0.077,6,27,79,67,4.1,0.56,Abdominal,0,0
2023-01-05,Thursday,January,2023,Day,176,20,1.35,75.3,205.1,30,113,16,17,0.1,7,42,75,61,7.4,0.73,Cardiac,0,0
2023-01-06,Friday,January,2023,Day,172,19,1.39,84.2,153.1,50,110,20,0,0.09,3,33,77,49,7.0,0.55,Psychiatric,0,0
2023-01-07,Saturday,January,2023,Night,120,19,0.97,70.2,126.9,27,66,8,19,0.067,4,27,57,31,6.3,0.65,Abdominal,0,0
